iter	Passed	Remaining
0	3	3433
1	7	3727
2	11	3661
3	14	3586
4	17	3425
5	20	3427
6	22	3202
7	25	3202
8	28	3182
9	32	3168
10	35	3230
11	39	3247
12	40	3107
13	44	3130
14	46	3059
15	50	3109
16	54	3123
17	55	3032
18	58	3022
19	61	3016
20	64	3009
21	70	3121
22	73	3140
23	76	3129
24	79	3117
25	84	3173
26	87	3164
27	91	3173
28	94	3173
29	98	3169
30	101	3174
31	104	3167
32	108	3175
33	111	3174
34	114	3161
35	118	3168
36	121	3156
37	124	3142
38	127	3137
39	131	3150
40	134	3137
41	137	3133
42	140	3116
43	144	3128
44	147	3136
45	151	3135
46	153	3121
47	156	3108
48	160	3111
49	163	3104
50	166	3090
51	168	3080
52	171	3067
53	175	3068
54	178	3065
55	181	3060
56	184	3056
57	187	3044
58	191	3046
59	194	3045
60	197	3044
61	200	3035
62	203	3030
63	207	3041
64	211	3044
65	214	3039
66	217	3030
67	219	3008
68	222	3005
69	227	3021
70	230	3018
71	234	3027
72	241	3065
73	245	3072
74	249	3080
75	254	3095
76	258	3095
77	261	3095
78	265	3096
79	269	3104
80	273	3100
81	276	3093
82	279	3085
83	282	3080
84	286	3084
85	288	3068
86	291	3062
87	294	3053
88	297	3046
89	300	3041
90	304	3036
91	307	3034
92	310	3024
93	314	3031
94	318	3036
95	322	3038
96	326	3039
97	332	3056
98	335	3052
99	339	3051
100	341	3044
101	345	3041
102	349	3039
103	351	3030
104	354	3023
105	357	3015
106	361	3018
107	366	3023
108	368	3015
109	371	3009
110	376	3015
111	380	3018
112	384	3016
113	388	3016
114	392	3017
115	396	3022
116	401	3026
117	404	3021
118	408	3027
119	412	3024
120	415	3017
121	418	3015
122	423	3020
123	427	3021
124	431	3020
125	434	3015
126	439	3018
127	442	3014
128	445	3008
129	448	3001
130	451	2997
131	455	2994
132	458	2987
133	460	2974
134	463	2972
135	467	2968
136	470	2963
137	473	2957
138	476	2952
139	479	2946
140	482	2939
141	485	2933
142	488	2926
143	491	2918
144	493	2912
145	496	2905
146	500	2902
147	503	2900
148	506	2895
149	509	2888
150	512	2881
151	515	2876
152	518	2869
153	521	2865
154	524	2858
155	527	2852
156	531	2854
157	535	2852
158	538	2847
159	541	2843
160	544	2839
161	548	2838
162	551	2833
163	554	2827
164	557	2822
165	561	2820
166	564	2816
167	568	2813
168	571	2810
169	574	2806
170	578	2805
171	581	2801
172	583	2791
173	586	2785
174	589	2780
175	593	2779
176	598	2781
177	601	2776
178	604	2773
179	608	2773
180	613	2775
181	616	2771
182	619	2765
183	622	2761
184	625	2757
185	628	2751
186	631	2743
187	634	2738
188	636	2731
189	640	2728
190	643	2726
191	646	2721
192	648	2710
193	650	2704
194	654	2702
195	658	2700
196	661	2697
197	666	2699
198	670	2698
199	673	2694
200	676	2689
201	679	2683
202	683	2682
203	686	2679
204	689	2674
205	692	2668
206	695	2664
207	698	2660
208	702	2658
209	706	2656
210	710	2655
211	712	2649
212	716	2645
213	718	2639
214	721	2633
215	723	2627
216	726	2622
217	730	2619
218	733	2614
219	735	2609
220	738	2603
221	741	2598
222	746	2600
223	749	2595
224	752	2590
225	755	2585
226	757	2580
227	760	2576
228	764	2572
229	767	2568
230	770	2563
231	772	2558
232	776	2554
233	779	2550
234	782	2545
235	785	2541
236	787	2536
237	789	2529
238	794	2528
239	796	2522
240	799	2518
241	802	2512
242	805	2508
243	810	2509
244	813	2507
245	816	2503
246	820	2500
247	826	2505
248	829	2502
249	832	2497
250	837	2498
251	841	2496
252	843	2491
253	846	2485
254	848	2480
255	852	2478
